RouteID|BMP|EMP|ValueDate|Comments|ValueNumeric|StateID|BeginDate|ValueText|DataItem
0230009000000|6.1|6.17|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|6.17|6.2|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|6.2|6.27|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|6.381|6.4|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|6.4|6.47|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|6.47|6.5|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|6.5|6.6|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|6.6|6.7|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|6.7|6.8|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|6.8|6.9|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|6.9|7.0|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|7.0|7.1|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|7.1|7.2|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|7.2|7.3|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|7.3|7.4|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|7.4|7.5|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|7.5|7.58|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|7.584|7.6|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|7.6|7.7|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|7.7|7.8|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|7.8|7.9|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|7.9|8.0|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|8.0|8.1|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|8.1|8.2|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|8.2|8.3|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|8.3|8.4|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|8.4|8.5|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|8.5|8.6|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|8.6|8.7|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|8.7|8.8|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|8.8|8.9|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|8.9|9.0|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|9.0|9.1|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|9.1|9.2|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|9.2|9.3|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|9.3|9.4|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|9.4|9.5|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|9.5|9.6|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|9.6|9.7|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|9.7|9.8|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|9.8|9.9|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|9.9|9.95|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|10.12|10.2|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|10.2|10.3|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|10.3|10.37|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|10.532|10.6|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|10.6|10.7|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|10.7|10.8|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|10.8|10.893|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|10.893|10.9|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|10.9|11.0|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|11.0|11.1|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|11.1|11.2|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|11.2|11.243|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|14.0|14.1|1950|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|14.1|14.2|1950|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
