RouteID|BMP|EMP|ValueNumeric|DataItem|BeginDate|ValueText|ValueDate|StateID|Comments
4830002000000|2.84|4.64|0.913|Curves_A|01/01/2024|||54|
4830002000000|4.9|6.65|1.008|Curves_A|01/01/2024|||54|
4830002000000|9.93|10.25|0.043|Curves_A|01/01/2024|||54|
4830002000000|10.25|12.02|0.23|Curves_A|01/01/2024|||54|
4830002000000|12.02|13.02|0.248|Curves_A|01/01/2024|||54|
0240009050000|1.67|3.26|0.294|Curves_A|01/01/2024|||54|
4530107000000|0.29|0.76|0.258|Curves_A|01/01/2024|||54|
2040038000000|0.0|2.43|0.285|Curves_A|01/01/2024|||54|
0640035000000|7.83|8.63|0.058|Curves_A|01/01/2024|||54|
4730093000000|0.0|0.15|0.1|Curves_A|01/01/2024|||54|
4730093000000|0.15|0.91|0.352|Curves_A|01/01/2024|||54|
4730093000000|2.34|7.42|1.146|Curves_A|01/01/2024|||54|
20100640000EB|45.39|47.44|0.063|Curves_A|01/01/2024|||54|
20100640000EB|47.44|48.4|0.279|Curves_A|01/01/2024|||54|
20100640000EB|50.11|51.56|0.184|Curves_A|01/01/2024|||54|
20100640000EB|51.56|52.38|0.293|Curves_A|01/01/2024|||54|
20100640000EB|54.37|54.8|0.14|Curves_A|01/01/2024|||54|
20100640000EB|55.21|56.33|0.308|Curves_A|01/01/2024|||54|
20100640000EB|56.33|57.02|0.465|Curves_A|01/01/2024|||54|
20100640000EB|57.02|57.48|0.038|Curves_A|01/01/2024|||54|
20100640000EB|57.48|57.92|0.079|Curves_A|01/01/2024|||54|
20200600007WB|7.93|8.1|0.102|Curves_A|01/01/2024|||54|
0240015000000|2.78|3.06|0.064|Curves_A|01/01/2024|||54|
4140016100000|0.53|0.9|0.059|Curves_A|01/01/2024|||54|
0630010000100|1.94|2.56|0.146|Curves_A|01/01/2024|||54|
0640060700000|0.0|0.18|0.057|Curves_A|01/01/2024|||54|
0640060700000|0.18|0.56|0.034|Curves_A|01/01/2024|||54|
0640060700000|0.56|0.76|0.083|Curves_A|01/01/2024|||54|
4970755001900|0.1|0.64|0.159|Curves_A|01/01/2024|||54|
4970755001900|0.64|1.05|0.097|Curves_A|01/01/2024|||54|
52300070006EB|0.0|0.1|0.1|Curves_A|01/01/2024|||54|
52300070006EB|0.1|0.27|0.014|Curves_A|01/01/2024|||54|
5030152000000|40.4|43.98|0.545|Curves_A|01/01/2024|||54|
2840052200000|0.001|0.82|0.09|Curves_A|01/01/2024|||54|
0330003000000|8.17|11.14|0.397|Curves_A|01/01/2024|||54|
0673295001900|0.0|1.08|0.109|Curves_A|01/01/2024|||54|
4130003000000|36.23|36.49|0.037|Curves_A|01/01/2024|||54|
28204600000EB|13.48|14.72|0.209|Curves_A|01/01/2024|||54|
28204600000EB|14.72|15.15|0.039|Curves_A|01/01/2024|||54|
5040009000000|0.65|1.92|0.049|Curves_A|01/01/2024|||54|
5040009000000|1.92|3.59|0.128|Curves_A|01/01/2024|||54|
1340060140000|6.25|6.39|0.128|Curves_A|01/01/2024|||54|
3540004000000|1.92|2.19|0.04|Curves_A|01/01/2024|||54|
3140069060000|0.0|0.32|0.041|Curves_A|01/01/2024|||54|
3140069060000|0.32|0.38|0.044|Curves_A|01/01/2024|||54|
2640003000000|0.0|1.31|0.117|Curves_A|01/01/2024|||54|
4240037080000|6.535|6.537|0.002|Curves_A|01/01/2024|||54|
5430095000000|3.77|3.99|0.18|Curves_A|01/01/2024|||54|
5430095000000|4.2|6.12|0.248|Curves_A|01/01/2024|||54|
5430095000000|6.44|6.58|0.097|Curves_A|01/01/2024|||54|
