RouteID,BMP,EMP,year_last_constructed_16_ValueDate,year_last_constructed_17_ValueDate,year_last_constructed_18_ValueDate
42202190000NB,0,3.16,,,1926
42202190000NB,3.16,3.24,,,1926
42202190000NB,8.55,8.74,,,1926
42202190000NB,8.74,9.66,,,1926
42202190000NB,9.66,9.68,,,1926
42202190000NB,12.59,13.12,,,1926
42202190000NB,13.12,13.8,,,1996
42202190000NB,13.8,13.9,,1996,1996
42202190000NB,13.9,14,,1996,1996
42202190000NB,14,14.1,,1996,1996
42202190000NB,14.1,14.2,,1996,1996
42202190000NB,14.2,14.3,,1996,1996
42202190000NB,14.3,14.4,,1996,1996
42202190000NB,14.4,14.5,,1996,1996
42202190000NB,14.5,14.6,,1996,1996
42202190000NB,14.6,14.7,,1996,1996
42202190000NB,14.7,14.8,,1996,1996
42202190000NB,14.8,14.9,,1996,1996
42202190000NB,14.9,15,,1996,1996
42202190000NB,15,15.03,,1996,1996
42202190000NB,15.03,15.1,,1996,1996
42202190000NB,15.1,15.2,,1996,1996
42202190000NB,15.2,15.3,,1996,1996
42202190000NB,15.3,15.4,,1996,1996
42202190000NB,15.4,15.5,,1996,1996
42202190000NB,15.5,15.6,,1996,1996
42202190000NB,15.6,15.7,,1996,1996
42202190000NB,15.7,15.8,,1996,1996
42202190000NB,15.8,15.89,,1996,1996
42202190000NB,15.89,15.9,,1996,1996
42202190000NB,15.9,16,,1996,1996
42202190000NB,16,16.1,,1996,1996
42202190000NB,16.1,16.2,,1996,1996
42202190000NB,16.2,16.3,,1996,1996
42202190000NB,16.3,16.4,,1996,1996
42202190000NB,16.4,16.5,,1996,1996
42202190000NB,16.5,16.6,,1996,1996
42202190000NB,16.6,16.7,,1996,1996
42202190000NB,16.7,16.8,,1996,1996
42202190000NB,16.8,16.9,,1996,1996
42202190000NB,16.9,17,,1996,1996
42202190000NB,17,17.1,,1996,1996
42202190000NB,17.1,17.2,,,1996
42202190000NB,17.2,17.29,,,1926
42202190000NB,17.29,17.4,,,1926
42202190000NB,17.4,19.15,,,1926
42202190000NB,19.15,19.51,,,1926
42202190000NB,19.51,21.44,,,1926
42202190000NB,21.48,21.64,,,1926
42202190000NB,21.64,21.67,,,1926
42202190000NB,27.85,30.16,,,1926
42202190000NB,36.33,37.1,,,1963
42202190000NB,37.1,37.2,,1963,1963
42202190000NB,37.2,37.3,,1963,1963
42202190000NB,37.3,37.4,,1963,1963
42202190000NB,37.4,37.5,,1963,1963
42202190000NB,37.5,37.54,,1963,1963
42202190000NB,37.54,37.6,,1963,1963
42202190000NB,37.6,37.7,,1963,1963
42202190000NB,37.7,37.8,,1963,1963
42202190000NB,37.8,37.86,,1963,1963
42202190000NB,37.86,37.87,,1963,1963
42202190000NB,42.36,42.373,,,1924
0630101000000,0.16,0.36,2022,2022,2023
0330003000000,8.17,11.14,2017,2017,2017
32202190000NB,1.92,2,2014,1921,1921
32202190000NB,2,2.1,2014,1921,1921
32202190000NB,2.1,2.2,2014,1921,1921
32202190000NB,2.2,2.3,2014,1921,1921
32202190000NB,2.3,2.4,2014,1921,1921
32202190000NB,2.4,2.5,2014,1921,1921
32202190000NB,2.5,2.6,2014,1921,1921
32202190000NB,2.6,2.7,2014,1921,1921
32202190000NB,2.7,2.8,2014,1921,1921
32202190000NB,2.8,2.9,2014,1921,1921
32202190000NB,2.9,3,2014,1921,1921
32202190000NB,3,3.1,2014,1921,1921
32202190000NB,3.1,3.2,2014,1921,1921
32202190000NB,3.2,3.3,2014,1921,1921
