,RouteId,BeginPoint,EndPoint,LaneWidthVn,SampleId
5137,1830002000000,2.1,2.13,,180020000000
5138,1830002000000,2.7,2.719,,180020000000
5139,1830002000000,2.769,2.8,,180020000276
5140,1830002000000,3.8,3.827,,180020000276
5141,1830002000000,2.76,2.769,,180020000276
5142,1830002000000,3.6,3.607,,180020000276
5143,1830002000000,1.5,1.5037,,180020000000
5144,1830002000000,2.9989,3.0,,180020000276
5145,1830002000000,2.719,2.72,,180020000000
5146,1830002000000,10.9,11.0,,180020001086
5147,1830002000000,11.2,11.28,,180020001114
5148,18200330000EB,1.0,1.08,,180330000086
5149,18100770000NB,142.8,142.9,,180770013883
5150,18100770000NB,142.9,143.0,,180770013883
5151,18100770000NB,143.0,143.1,,180770013883
5152,18100770000NB,142.2,142.3,,180770013883
5153,18100770000NB,142.3,142.4,,180770013883
5154,18100770000NB,142.4,142.5,,180770013883
5155,18100770000NB,142.5,142.6,,180770013883
5156,18100770000NB,142.6,142.7,,180770013883
5157,18100770000NB,142.7,142.8,,180770013883
5158,18100770000NB,142.1,142.2,,180770013883
5159,18100770000NB,143.1,143.2,,180770013883
5160,1830002000000,10.86,10.9,,180020001086
5161,1830002000000,11.14,11.2,,180020001114
5162,18200330000EB,0.331,0.4,,180330000000
5163,18200330000EB,0.4,0.5,,180330000000
5164,18200330000EB,0.5,0.6,,180330000000
5165,18200330000EB,0.2,0.3,,180330000000
5166,18200330000EB,0.9,0.9667,,180330000086
5167,18200330000EB,0.6,0.62,,180330000000
5168,18200330000EB,0.3,0.331,,180330000000
5169,18200330000EB,0.8672,0.9,,180330000086
5170,18200330000EB,0.9667,1.0,,180330000086
5171,18200330000EB,0.19,0.2,,180330000000
5172,18200330000EB,0.86,0.8672,,180330000086
5173,1840021000000,28.7494,29.88,,180210002832
5174,18200330000EB,3.3405,3.459,,180330000332
5175,18100770000NB,145.2,145.3,,180770013883
5176,1840021000000,28.32,28.43,,180210002832
5177,1840021000000,28.43,28.5,,180210002832
5178,1840021000000,28.62,28.7111,,180210002832
5179,18100770000NB,140.2105,140.3,,180770013883
5180,18100770000NB,139.8,139.9,,180770013883
5181,18100770000NB,139.9,140.0,,180770013883
5182,18100770000NB,140.0,140.1,,180770013883
5183,18100770000NB,140.1,140.2,,180770013883
5184,18100770000NB,140.3,140.4,,180770013883
5185,18100770000NB,140.4,140.5,,180770013883
5186,18100770000NB,140.5,140.6,,180770013883
5187,18100770000NB,140.6,140.7,,180770013883
5188,18100770000NB,140.7,140.8,,180770013883
5189,18100770000NB,141.4,141.5,,180770013883
5190,18100770000NB,141.5,141.6,,180770013883
5191,18100770000NB,141.6,141.7,,180770013883
5192,18100770000NB,141.7,141.8,,180770013883
5193,18100770000NB,141.9,142.0,,180770013883
5194,18100770000NB,142.0,142.1,,180770013883
5195,18100770000NB,143.3,143.4,,180770013883
5196,18100770000NB,143.4,143.5,,180770013883
5197,18100770000NB,143.6,143.7,,180770013883
5198,18100770000NB,143.7,143.8,,180770013883
5199,18100770000NB,143.8,143.9,,180770013883
5200,18100770000NB,143.9,144.0,,180770013883
5201,18100770000NB,144.0,144.1,,180770013883
5202,18100770000NB,144.1,144.2,,180770013883
5203,18100770000NB,144.3,144.4,,180770013883
5204,18100770000NB,144.4,144.5,,180770013883
5205,18100770000NB,144.6,144.7,,180770013883
5206,18100770000NB,144.7,144.8,,180770013883
5207,18100770000NB,144.8,144.9,,180770013883
5208,18100770000NB,144.9,145.0,,180770013883
5209,18100770000NB,145.0,145.1,,180770013883
5210,18100770000NB,145.1,145.2,,180770013883
5211,18100770000NB,145.3,145.4,,180770013883
5212,18100770000NB,145.6,145.7,,180770013883
5213,18100770000NB,146.0,146.1,,180770014599
5214,18100770000NB,146.1,146.2,,180770014599
5215,18100770000NB,146.5,146.6,,180770014599
5216,18100770000NB,146.6,146.7,,180770014599
5217,18100770000NB,146.7,146.8,,180770014599
5218,18100770000NB,146.8,146.9,,180770014599
5219,18100770000NB,146.9,147.0,,180770014599
5220,18100770000NB,140.9,141.0,,180770013883
5221,18100770000NB,141.0,141.1,,180770013883
5222,18100770000NB,141.1,141.2,,180770013883
5223,18100770000NB,141.2,141.3,,180770013883
5224,18100770000NB,141.3,141.4,,180770013883
5225,18100770000NB,145.75,145.8,,180770013883
5226,18100770000NB,145.806,145.9,,180770013883
5227,18100770000NB,144.513,144.6,,180770013883
5228,18200330000EB,3.32,3.3405,,180330000332
5229,18100770000NB,141.8,141.9,,180770013883
5230,18100770000NB,143.5,143.5526,,180770013883
5231,18100770000NB,143.5526,143.6,,180770013883
5232,18100770000NB,145.4,145.45,,180770013883
5233,18100770000NB,145.5,145.6,,180770013883
5234,18100770000NB,146.36,146.4,,180770014599
5235,18100770000NB,146.4,146.4403,,180770014599
5236,18100770000NB,146.4403,146.5,,180770014599
5237,18100770000NB,143.2,143.251,,180770013883
5238,18100770000NB,144.241,144.3,,180770013883
5239,1840021000000,28.5,28.549,,180210002832
5240,1840021000000,28.557,28.62,,180210002832
5241,18100770000NB,140.8,140.828,,180770013883
5242,18100770000NB,140.85,140.9,,180770013883
5243,18100770000NB,145.455,145.5,,180770013883
5244,1840021000000,28.7111,28.74,,180210002832
5245,18100770000NB,145.7,145.73,,180770013883
5246,18100770000NB,145.73,145.75,,180770013883
5247,18100770000NB,146.2,146.3,,180770014599
5248,18100770000NB,143.279,143.3,,180770013883
5249,18100770000NB,145.935,145.955,,180770013883
5250,18100770000NB,145.961,145.99,,180770013883
5251,1840021000000,28.74,28.7494,,180210002832
5252,18100770000NB,140.2,140.2105,,180770013883
5253,18100770000NB,145.99,146.0,,180770014599
5254,18100770000NB,146.3,146.36,,180770014599
5255,18100770000NB,143.251,143.2631,,180770013883
5256,18100770000NB,143.2631,143.279,,180770013883
5257,18100770000NB,144.209,144.233,,180770013883
5258,18100770000NB,145.916,145.935,,180770013883
5259,1840021000000,28.549,28.557,,180210002832
5260,18100770000NB,140.828,140.8403,,180770013883
5261,18100770000NB,144.5,144.509,,180770013883
5262,18100770000NB,145.9103,145.916,,180770013883
5263,18100770000NB,145.8,145.806,,180770013883
5264,18100770000NB,144.2,144.209,,180770013883
5265,18100770000NB,144.233,144.241,,180770013883
5266,18100770000NB,145.9,145.907,,180770013883
5267,18100770000NB,140.8403,140.85,,180770013883
5268,18100770000NB,145.955,145.961,,180770013883
